sc	cs	s	cs	c	cs	c	c	sc	cs	c	c	cs	cs	cs	cs	cs	cs	cs
400102	暗夜长帽	hat	1	有效期：永久	72000	resources/item_clothes/clo_010_2.png	resources/makeup_clothes/clo_010_2.png	2				2Ω180	-1	3	2400	2009	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_010_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_010_2.png
400151	格子衬衫	clothes	1	有效期：永久	72000	resources/item_clothes/clo_015_1.png	resources/makeup_clothes/clo_015_1.png	1				1Ω150	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_015_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_015_1.png
400152	遮阳帽	hat	1	有效期：永久	72000	resources/item_clothes/clo_015_2.png	resources/makeup_clothes/clo_015_2.png	2				2Ω180	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_015_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_015_2.png
400161	水手上衣	clothes	1	有效期：永久	72000	resources/item_clothes/clo_016_1.png	resources/makeup_clothes/clo_016_1.png	1				1Ω150	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_016_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_016_1.png
400162	水手帽	hat	1	有效期：永久	72000	resources/item_clothes/clo_016_2.png	resources/makeup_clothes/clo_016_2.png	2				2Ω180	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_016_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_016_2.png
400172	夜场礼帽	hat	1	有效期：永久	72000	resources/item_clothes/clo_017_2.png	resources/makeup_clothes/clo_017_2.png	2				2Ω180	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_2.png
400173	太阳镜	glasses	1	有效期：永久	72000	resources/item_clothes/clo_017_3.png	resources/makeup_clothes/clo_017_3.png	3				3Ω0.08	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_3.png
400174	猫铃	necklace	1	有效期：永久	72000	resources/item_clothes/clo_017_4.png	resources/makeup_clothes/clo_017_4.png	4				4Ω0.08	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_4.png
400175	天使之翼	cloak	1	有效期：永久	72000	resources/item_clothes/clo_017_5.png	resources/makeup_clothes/clo_017_5.png	5				1Ω75|2Ω75	-1	3	2400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_5.png
400011	飞侠上装	clothes	2	有效期：永久	144000	resources/item_clothes/clo_001_1.png	resources/makeup_clothes/clo_001_1.png	1				1Ω240	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_1.png
400012	飞侠礼帽	hat	2	有效期：永久	144000	resources/item_clothes/clo_001_2.png	resources/makeup_clothes/clo_001_2.png	2				2Ω285	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_2.png
400014	飞侠领巾	necklace	2	有效期：永久	144000	resources/item_clothes/clo_001_4.png	resources/makeup_clothes/clo_001_4.png	4				4Ω0.1	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_4.png
400021	魔术师外套	clothes	2	有效期：永久	144000	resources/item_clothes/clo_002_1.png	resources/makeup_clothes/clo_002_1.png	1				1Ω240	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_002_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_002_1.png
400022	魔术师帽子	hat	2	有效期：永久	144000	resources/item_clothes/clo_002_2.png	resources/makeup_clothes/clo_002_2.png	2				2Ω285	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_002_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_002_2.png
400024	魔术师领结	necklace	2	有效期：永久	144000	resources/item_clothes/clo_002_4.png	resources/makeup_clothes/clo_002_4.png	4				4Ω0.1	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_002_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_002_4.png
400071	绅士礼服	clothes	2	有效期：永久	144000	resources/item_clothes/clo_007_1.png	resources/makeup_clothes/clo_007_1.png	1				1Ω240	-1	3	4800	2003	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_1.png
400072	绅士帽子	hat	2	有效期：永久	144000	resources/item_clothes/clo_007_2.png	resources/makeup_clothes/clo_007_2.png	2				2Ω285	-1	3	4800	2004	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_2.png
400073	绅士眼镜	glasses	2	有效期：永久	144000	resources/item_clothes/clo_007_3.png	resources/makeup_clothes/clo_007_3.png	3				3Ω0.1	-1	3	4800	2005	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_3.png
400074	绅士领结	necklace	2	有效期：永久	144000	resources/item_clothes/clo_007_4.png	resources/makeup_clothes/clo_007_4.png	4				4Ω0.1	-1	3	4800	2006	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_4.png
400075	飞翔之翼	cloak	2	有效期：永久	144000	resources/item_clothes/clo_007_5.png	resources/makeup_clothes/clo_007_5.png	5				1Ω120|2Ω120	-1	3	4800	2007	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_5.png
400121	魔女上衣	clothes	2	有效期：永久	144000	resources/item_clothes/clo_012_1.png	resources/makeup_clothes/clo_012_1.png	1				1Ω240	-1	3	4800	2014	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_012_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_012_1.png
400122	魔女头饰	hat	2	有效期：永久	144000	resources/item_clothes/clo_012_2.png	resources/makeup_clothes/clo_012_2.png	2				2Ω285	-1	3	4800	2015	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_012_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_012_2.png
400125	魔女翅膀	cloak	2	有效期：永久	144000	resources/item_clothes/clo_012_5.png	resources/makeup_clothes/clo_012_5.png	5				1Ω120|2Ω120	-1	3	4800	2016	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_012_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_012_5.png
400141	恶魔上装	clothes	2	有效期：永久	144000	resources/item_clothes/clo_014_1.png	resources/makeup_clothes/clo_014_1.png	1				1Ω240	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_014_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_014_1.png
400142	恶魔头饰	hat	2	有效期：永久	144000	resources/item_clothes/clo_014_2.png	resources/makeup_clothes/clo_014_2.png	2				2Ω285	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_014_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_014_2.png
400191	粉色淑女裙	clothes	2	有效期：永久	144000	resources/item_clothes/clo_019_1.png	resources/makeup_clothes/clo_019_1.png	1				1Ω240	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_019_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_019_1.png
400192	淑女礼帽	hat	2	有效期：永久	144000	resources/item_clothes/clo_019_2.png	resources/makeup_clothes/clo_019_2.png	2				2Ω285	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_019_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_019_2.png
490003	浴袍套装	suit	1	有效期：永久	144000	resources/item_clothes/clo_003_9.png	resources/makeup_clothes/clo_003_9.png	0	400031|400032|400034|400035			1Ω60|2Ω75|3Ω0.05|4Ω0.05	-1	3	4800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_003_9.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_003_9.png
490006	超人套装	suit	2	有效期：永久	288000	resources/item_clothes/clo_006_9.png	resources/makeup_clothes/clo_006_9.png	0	400061|400063			1Ω150|2Ω180|3Ω0.08|4Ω0.08	-1	3	9600		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_006_9.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_006_9.png
490004	天使套装	suit	2	有效期：永久	576000	resources/item_clothes/clo_004_9.png	resources/makeup_clothes/clo_004_9.png	0	400041|400044|400045			1Ω240|2Ω390|3Ω0.1|4Ω0.1	-1	3	19200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_004_9.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_004_9.png
490011	海盗套装	suit	2	有效期：永久	576000	resources/item_clothes/clo_011_9.png	resources/makeup_clothes/clo_011_9.png	0	400111|400112|400113			1Ω240|2Ω390|3Ω0.1|4Ω0.1	-1	3	19200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_011_9.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_011_9.png
490013	吸血鬼套装	suit	2	有效期：永久	576000	resources/item_clothes/clo_013_9.png	resources/makeup_clothes/clo_013_9.png	0	400131|400132|400135			1Ω240|2Ω390|3Ω0.1|4Ω0.1	-1	3	19200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_013_9.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_013_9.png
400031	暂缺	clothes		有效期：永久	-1	resources/item_clothes/clo_003_1.png	resources/makeup_clothes/clo_003_1.png	1				1Ω330	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_003_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_003_1.png
400032	暂缺	hat		有效期：永久	-1	resources/item_clothes/clo_003_2.png	resources/makeup_clothes/clo_003_2.png	2				2Ω390	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_003_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_003_2.png
400034	暂缺	necklace		有效期：永久	-1	resources/item_clothes/clo_003_4.png	resources/makeup_clothes/clo_003_4.png	4				4Ω0.12	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_003_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_003_4.png
400035	暂缺	cloak		有效期：永久	-1	resources/item_clothes/clo_003_5.png	resources/makeup_clothes/clo_003_5.png	5				1Ω150|2Ω150	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_003_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_003_5.png
400041	暂缺	clothes		有效期：永久	-1	resources/item_clothes/clo_004_1.png	resources/makeup_clothes/clo_004_1.png	1				1Ω330	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_004_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_004_1.png
400044	暂缺	hat		有效期：永久	-1	resources/item_clothes/clo_004_4.png	resources/makeup_clothes/clo_004_4.png	2				2Ω390	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_004_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_004_4.png
400045	暂缺	cloak		有效期：永久	-1	resources/item_clothes/clo_004_5.png	resources/makeup_clothes/clo_004_5.png	5				1Ω150|2Ω150	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_004_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_004_5.png
400061	暂缺	clothes		有效期：永久	-1	resources/item_clothes/clo_006_1.png	resources/makeup_clothes/clo_006_1.png	1				1Ω330	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_006_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_006_1.png
400063	暂缺	glasses		有效期：永久	-1	resources/item_clothes/clo_006_3.png	resources/makeup_clothes/clo_006_3.png	3				3Ω0.12	-1	3	200		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_006_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_006_3.png
400111	海盗衣服	clothes		有效期：永久	-1	resources/item_clothes/clo_011_1.png	resources/makeup_clothes/clo_011_1.png	1				1Ω330	-1	3	200	2010	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_011_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_011_1.png
400112	海盗帽子	hat		有效期：永久	-1	resources/item_clothes/clo_011_2.png	resources/makeup_clothes/clo_011_2.png	2				2Ω390	-1	3	200	2011	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_011_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_011_2.png
400113	海盗眼镜	glasses		有效期：永久	-1	resources/item_clothes/clo_011_3.png	resources/makeup_clothes/clo_011_3.png	3				3Ω0.12	-1	3	200	2012	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_011_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_011_3.png
400131	吸血衣服	clothes		有效期：永久	-1	resources/item_clothes/clo_013_1.png	resources/makeup_clothes/clo_013_1.png	1				1Ω330	-1	3	200	2017	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_013_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_013_1.png
400132	吸血帽子	hat		有效期：永久	-1	resources/item_clothes/clo_013_2.png	resources/makeup_clothes/clo_013_2.png	2				2Ω390	-1	3	200	2018	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_013_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_013_2.png
400135	吸血翅膀	cloak		有效期：永久	-1	resources/item_clothes/clo_013_5.png	resources/makeup_clothes/clo_013_5.png	5				1Ω150|2Ω150	-1	3	200	2019	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_013_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_013_5.png
490005	套装1	suit	2	套装1	-1	resources/item_clothes/clo_005_1.png	resources/makeup_clothes/clo_005_1.png	0	400111|400112|400113			4Ω0.1	-1	3	200	2061	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_005_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_005_1.png
490007	套装2	suit	2	套装2	-1	resources/item_clothes/clo_007_1.png	resources/makeup_clothes/clo_007_1.png	0	400071|400072|400073|400074|400075			1Ω100|2Ω100	-1	3	200	2062	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_007_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_007_1.png
490010	套装3	suit	2	套装3	-1	resources/item_clothes/clo_010_1.png	resources/makeup_clothes/clo_010_1.png	0	400101|400102			1Ω500	-1	3	200	2063	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_010_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_010_1.png
400114	海盗领结	necklace	2	海盗领结	-1	resources/item_clothes/clo_011_4.png	resources/makeup_clothes/clo_011_4.png	4				3Ω0.1	-1	3	200	2013	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_011_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_011_4.png
410081	小画家上装	clothes	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_008_1.png	resources/makeup_clothes/clo_008_1.png	1				1Ω60	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_008_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_008_1.png
410082	小画家帽子	hat	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_008_2.png	resources/makeup_clothes/clo_008_2.png	2				2Ω75	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_008_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_008_2.png
410091	粉红连衣裙	clothes	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_009_1.png	resources/makeup_clothes/clo_009_1.png	1				1Ω60	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_1.png
410092	紫纹蝴蝶结	hat	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_009_2.png	resources/makeup_clothes/clo_009_2.png	2				2Ω75	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_2.png
410094	粉红领结	necklace	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_009_4.png	resources/makeup_clothes/clo_009_4.png	4				4Ω0.05	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_4.png
410095	小仙女之翼	cloak	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_009_5.png	resources/makeup_clothes/clo_009_5.png	5				1Ω30|2Ω30	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_009_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_009_5.png
410181	休闲衬衫	clothes	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_018_1.png	resources/makeup_clothes/clo_018_1.png	1				1Ω60	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_018_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_018_1.png
410182	大红蝴蝶结	hat	0	有效期：1天，装备后开始计时	400	resources/item_clothes/clo_018_2.png	resources/makeup_clothes/clo_018_2.png	2				2Ω75	1440	3	400		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_018_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_018_2.png
410051	学生上装	clothes	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_005_1.png	resources/makeup_clothes/clo_005_1.png	1				1Ω150	1440	3	800	2001	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_005_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_005_1.png
410053	红框眼镜	glasses	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_005_3.png	resources/makeup_clothes/clo_005_3.png	3				3Ω0.08	1440	3	800	2002	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_005_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_005_3.png
410101	暗夜法袍	clothes	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_010_1.png	resources/makeup_clothes/clo_010_1.png	1				1Ω150	1440	3	800	2008	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_010_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_010_1.png
410102	暗夜长帽	hat	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_010_2.png	resources/makeup_clothes/clo_010_2.png	2				2Ω180	1440	3	800	2009	https://qiniustatic.wodidashi.com/pet/itemclothes/clo_010_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_010_2.png
410151	格子衬衫	clothes	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_015_1.png	resources/makeup_clothes/clo_015_1.png	1				1Ω150	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_015_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_015_1.png
410152	遮阳帽	hat	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_015_2.png	resources/makeup_clothes/clo_015_2.png	2				2Ω180	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_015_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_015_2.png
410161	水手上衣	clothes	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_016_1.png	resources/makeup_clothes/clo_016_1.png	1				1Ω150	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_016_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_016_1.png
410162	水手帽	hat	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_016_2.png	resources/makeup_clothes/clo_016_2.png	2				2Ω180	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_016_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_016_2.png
410172	夜场礼帽	hat	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_017_2.png	resources/makeup_clothes/clo_017_2.png	2				2Ω180	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_2.png
410173	太阳镜2223	glasses	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_017_3.png	resources/makeup_clothes/clo_017_3.png	3				3Ω0.08	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_3.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_3.png
410174	猫铃	necklace	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_017_4.png	resources/makeup_clothes/clo_017_4.png	4				4Ω0.08	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_4.png
410175	天使之翼	cloak	1	有效期：1天，装备后开始计时	800	resources/item_clothes/clo_017_5.png	resources/makeup_clothes/clo_017_5.png	5				1Ω75|2Ω75	1440	3	800		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_017_5.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_017_5.png
410011	飞侠上装	clothes	2	有效期：1天，装备后开始计时	1600	resources/item_clothes/clo_001_1.png	resources/makeup_clothes/clo_001_1.png	1				1Ω240	1440	3	1600		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_1.png
410012	飞侠礼帽	hat	2	有效期：1天，装备后开始计时	1600	resources/item_clothes/clo_001_2.png	resources/makeup_clothes/clo_001_2.png	2				2Ω285	1440	3	1600		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_2.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_2.png
410014	飞侠领巾	necklace	2	有效期：1天，装备后开始计时	1600	resources/item_clothes/clo_001_4.png	resources/makeup_clothes/clo_001_4.png	4				4Ω0.1	1440	3	1600		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_001_4.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_001_4.png
410021	魔术师外套	clothes	2	有效期：1天，装备后开始计时	1600	resources/item_clothes/clo_002_1.png	resources/makeup_clothes/clo_002_1.png	1				1Ω240	1440	3	1600		https://qiniustatic.wodidashi.com/pet/itemclothes/clo_002_1.png	https://qiniustatic.wodidashi.com/pet/makeup_clothes/clo_002_1.png
